,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
50,axk,yaka1272,Aka,2.66666666667,16.25,Bantoid,Niger-Congo,Africa,CF CG,,language,wals1
51,abj,akab1249,Aka-Biada,11.6666666667,92.5,Great Andamanese,Great Andamanese,Eurasia,IN,,language,wals1
52,aci,akac1240,Aka-Cari,13.5,93.0,Great Andamanese,Great Andamanese,Eurasia,IN,,language,wals1
53,akx,akak1252,Aka-Kede,12.75,92.75,Great Andamanese,Great Andamanese,Eurasia,IN,,language,wals1
54,aka,akan1250,Akan,6.5,-1.25,Kwa,Niger-Congo,Africa,GH,,language,wals1
55,ake,akaw1239,Akawaio,6.0,-59.5,Cariban,Cariban,South America,GY,,language,wals1
56,ahk,akha1245,Akha,21.8333333333,99.8333333333,Burmese-Lolo,Sino-Tibetan,Eurasia,MM TH CN,,language,wals1
57,akv,akhv1239,Akhvakh,42.3333333333,46.3333333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU,,language,wals1
58,akl,akla1241,Aklanon,11.5833333333,122.333333333,Greater Central Philippine,Austronesian,Papunesia,PH,,language,wals1
59,png,pong1250,Akwa,10.0833333333,6.33333333333,Kainji,Niger-Congo,Africa,NG,,language,wals1
60,nrz,lala1268,Ala'ala,-8.91666666667,146.75,Oceanic,Austronesian,Papunesia,PG,,language,wals1
61,akz,alab1237,Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,North America,US,3 Others,language,wals1
62,wbj,alag1248,Alagwa,-5.5,35.75,Southern Cushitic,Afro-Asiatic,Africa,TZ,,language,wals1
63,amp,alam1246,Alamblak,-4.66666666667,143.333333333,Sepik Hill,Sepik,Papunesia,PG,,language,wals1
64,btz,bata1292,Alas,3.66666666667,97.8333333333,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID,,language,wals1
65,alh,alaw1244,Alawa,-15.1666666667,134.25,Alawa,Mangarrayi-Maran,Australia,AU,,language,wals1
66,aln,tosk1239,Albanian,41.0,20.0,Albanian,Indo-European,Eurasia,AL RS,1 Words derived from Sinitic cha,language,wals1
67,ale,aleu1260,Aleut,54.0,-166.0,Aleut,Eskimo-Aleut,North America,US,,language,wals1
68,ale,aleu1260,Aleut (Eastern),54.75,-164.0,Aleut,Eskimo-Aleut,North America,US,,language,wals1
69,alq,algo1255,Algonquin,46.0,-77.0,Algonquian,Algic,North America,CA,,language,wals1
70,ald,alla1248,Alladian,5.16666666667,-4.33333333333,Kwa,Niger-Congo,Africa,CI,,language,wals1
71,,alle1238,Allentiac,-31.0,-68.0,Huarpe,Huarpe,South America,AR,,language,wals1
72,gsw,swis1247,Alsatian,48.5,7.5,Germanic,Indo-European,Eurasia,FR,2 Words derived from Min Nan Chinese te,language,wals1
73,aes,alse1251,Alsea,44.6666666667,-123.916666667,Alsea,Oregon Coast,North America,US,,language,wals1
74,alt,sout2694,Altai (Southern),51.0,87.0,Turkic,Altaic,Eurasia,RU,,language,wals1
75,alp,alun1238,Alune,-3.0,128.333333333,Central Malayo-Polynesian,Austronesian,Papunesia,ID,,language,wals1
76,ems,paci1278,Alutiiq,57.0,-157.0,Eskimo,Eskimo-Aleut,North America,US,,language,wals1
77,alr,alut1245,Alutor,61.0,165.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,RU,,language,wals1
78,aly,alya1239,Alyawarra,-22.5,135.0,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
79,amm,amap1240,Ama,-4.21666666667,141.616666667,Left May,Left May,Papunesia,PG,,language,wals1
80,amc,amah1246,Amahuaca,-10.5,-72.5,Panoan,Panoan,South America,PE BR,,language,wals1
81,amn,aman1265,Amanab,-3.58333333333,141.25,Border,Border,Papunesia,PG,,language,wals1
82,aie,amar1272,Amara,-5.66666666667,148.5,Oceanic,Austronesian,Papunesia,PG,,language,wals1
83,amr,amar1274,Amarakaeri,-12.5,-70.5,Harakmbet,Harakmbet,South America,PE,,language,wals1
84,omb,east2443,Ambae (Lolovoli Northeast),-15.4166666667,167.883333333,Oceanic,Austronesian,Papunesia,VU,,language,wals1
85,amk,amba1265,Ambai,-1.83333333333,136.5,South Halmahera - West New Guinea,Austronesian,Papunesia,ID,,language,wals1
86,abt,ambu1247,Ambulas,-3.83333333333,143.0,Middle Sepik,Sepik,Papunesia,PG,,language,wals1
87,adx,amdo1237,Amdo,35.0,100.0,Bodic,Sino-Tibetan,Eurasia,CN,,language,wals1
88,adx,amdo1237,Amdo (Themchen),38.0,98.0,Bodic,Sino-Tibetan,Eurasia,NP,,language,wals1
89,aey,amel1241,Amele,-5.25,145.583333333,Madang,Trans-New Guinea,Papunesia,PG,,language,wals1
90,ase,amer1248,American Sign Language,39.0,-78.0,Sign Languages,other,North America,CA US,,language,wals1
