,Unnamed: 0,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
2078,2078,sme,nort2671,Saami (Northern),69.0,24.0,Saami,Uralic,Eurasia,NO FI SE,te,language,wals1
2099,2099,sag,sang1328,Sango,5.0,18.0,Ubangi,Niger-Congo,Africa,CF,cha,language,wals1
2135,2135,hrv,sout1528,Serbian-Croatian,44.0,19.0,Slavic,Indo-European,Eurasia,RS BA HR,cha,language,wals1
2138,2138,sot,sout2807,Sesotho,-28.0,27.0,Bantoid,Niger-Congo,Africa,ZA LS,te,language,wals1
2153,2153,bwo,boro1277,Shinassha,10.4166666667,36.1666666667,North Omotic,Afro-Asiatic,Africa,ET,cha,language,wals1
2175,2175,snd,sind1272,Sindhi,26.0,69.0,Indic,Indo-European,Eurasia,PK IN,cha,language,wals1
2176,2176,sin,sinh1246,Sinhala,7.0,80.5,Indic,Indo-European,Eurasia,LK,te,language,wals1
2190,2190,slk,slov1269,Slovak,49.0,20.0,Slavic,Indo-European,Eurasia,SK,cha,language,wals1
2191,2191,slv,slov1268,Slovene,46.0,15.0,Slavic,Indo-European,Eurasia,SI,cha,language,wals1
2197,2197,som,soma1255,Somali,3.0,45.0,Lowland East Cushitic,Afro-Asiatic,Africa,SO,cha,language,wals1
2200,2200,snk,soni1259,Soninke,15.0,-10.5,Western Mande,Mande,Africa,CI SN BF ML,other,language,wals1
2212,2212,spa,stan1288,Spanish,40.0,-4.0,Romance,Indo-European,Eurasia,ES,te,language,wals1
2217,2217,srn,sran1240,Sranan,5.83333333333,-55.3333333333,Creoles and Pidgins,other,South America,SR,te,language,wals1
2231,2231,sun,sund1252,Sundanese,-7.0,107.0,Malayo-Sumbawan,Austronesian,Papunesia,ID,te,language,wals1
2238,2238,swh,swah1253,Swahili,-6.5,39.0,Bantoid,Niger-Congo,Africa,TZ,cha,language,wals1
2240,2240,swe,swed1254,Swedish,60.0,15.0,Germanic,Indo-European,Eurasia,FI SE,te,language,wals1
2250,2250,tgl,taga1270,Tagalog,15.0,121.0,Greater Central Philippine,Austronesian,Papunesia,PH,cha,language,wals1
2252,2252,tah,tahi1242,Tahitian,-17.6666666667,-149.583333333,Oceanic,Austronesian,Papunesia,PF,te,language,wals1
2256,2256,,minn1241,Taiwanese,25.0,121.5,Chinese,Sino-Tibetan,Eurasia,TW,te,language,wals1
2258,2258,tgk,taji1245,Tajik,38.6666666667,70.0,Iranian,Indo-European,Eurasia,TJ,cha,language,wals1
2294,2294,tat,tata1255,Tatar,56.0,49.5,Turkic,Altaic,Eurasia,RU,cha,language,wals1
2312,2312,tel,telu1262,Telugu,16.0,79.0,South-Central Dravidian,Dravidian,Eurasia,IN,te,language,wals1
2337,2337,tha,thai1261,Thai,16.0,101.0,Kam-Tai,Tai-Kadai,Eurasia,TH,cha,language,wals1
2349,2349,bod,tibe1272,Tibetan (Standard Spoken),30.0,91.0,Bodic,Sino-Tibetan,Eurasia,CN,cha,language,wals1
2373,2373,tiw,tiwi1244,Tiwi,-11.5,131.0,Tiwian,Tiwian,Australia,AU,other,language,wals1
2418,2418,tsn,tswa1253,Tswana,-24.0,26.0,Bantoid,Niger-Congo,Africa,BW ZA,te,language,wals1
2435,2435,tun,tuni1252,Tunica,32.6666666667,-91.0,Tunica,Tunica,North America,US,other,language,wals1
2441,2441,tur,nucl1301,Turkish,39.0,35.0,Turkic,Altaic,Eurasia,TR,cha,language,wals1
2442,2442,tuk,turk1304,Turkmen,40.0,58.0,Turkic,Altaic,Eurasia,TM,cha,language,wals1
2448,2448,tyv,tuvi1240,Tuvan,52.0,95.0,Turkic,Altaic,Eurasia,RU MN,cha,language,wals1
2467,2467,udm,udmu1245,Udmurt,57.5,52.5,Permic,Uralic,Eurasia,RU,cha,language,wals1
2469,2469,ukr,ukra1253,Ukrainian,49.0,33.0,Slavic,Indo-European,Eurasia,UA,cha,language,wals1
2496,2496,uig,uigh1240,Uyghur,40.0,80.0,Turkic,Altaic,Eurasia,CN,cha,language,wals1
2497,2497,uzs,uzbe1247,Uzbek,39.0,66.0,Turkic,Altaic,Eurasia,AF UZ,cha,language,wals1
2507,2507,vie,viet1252,Vietnamese,10.5,106.5,Viet-Muong,Austro-Asiatic,Eurasia,VN,cha,language,wals1
2523,2523,wmb,wamb1258,Wambaya,-18.6666666667,135.75,Wambayan,Mirndi,Australia,AU,other,language,wals1
2561,2561,cym,wels1247,Welsh,52.0,-3.0,Celtic,Indo-European,Eurasia,GB,te,language,wals1
2583,2583,wlo,woli1241,Wolio,-5.5,122.75,Celebic,Austronesian,Papunesia,ID,te,language,wals1
2584,2584,wol,nucl1347,Wolof,15.25,-16.0,Northern Atlantic,Niger-Congo,Africa,SN GM,other,language,wals1
2593,2593,xho,xhos1239,Xhosa,-32.0,27.0,Bantoid,Niger-Congo,Africa,ZA,te,language,wals1
2606,2606,sah,yaku1245,Yakut,62.0,130.0,Turkic,Altaic,Eurasia,RU,cha,language,wals1
2639,2639,jnj,yems1235,Yemsa,7.83333333333,37.3333333333,North Omotic,Afro-Asiatic,Africa,ET,cha,language,wals1
2655,2655,yor,yoru1245,Yoruba,8.0,4.33333333333,Defoid,Niger-Congo,Africa,NG BJ,te,language,wals1
2667,2667,esu,cent2127,Yup'ik (Central),59.5,-160.0,Eskimo,Eskimo-Aleut,North America,US,cha,language,wals1
2692,2692,dje,zarm1239,Zarma,13.8333333333,2.16666666667,Songhay,Songhay,Africa,NE,other,language,wals1
2700,2700,zoc,copa1236,Zoque (Copainalá),17.0,-93.25,Mixe-Zoque,Mixe-Zoque,North America,MX,other,language,wals1
2705,2705,zul,zulu1248,Zulu,-30.0,30.0,Bantoid,Niger-Congo,Africa,ZA,other,language,wals1
