,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
103,,Persian,دارچین,dârčin,dârčin,darchin,pes,west2369,language,Iranian,Indo-European,Eurasia,IR,32.0,54.0,wals1,دارچین‎ <br>dârčin<br>Language: Persian<br>Family: Indo-European
102,,Pashto,دالچینی,dolchini,dolchini,darchin,pst,cent1973,language,Iranian,Indo-European,Eurasia,AF PK,33.0,67.0,wals1,دالچینی<br>dolchini<br>Language: Pashto<br>Family: Indo-European
20,,Classical Syriac,"ܕܪܨܝܢܝ , ܨܝܢܕܪܓ","dārṣīnī, ṣīndreḡ","dārṣīnī, ṣīndreḡ",darchin,syc,clas1252,language,,Afro-Asiatic,Eurasia,TR,37.1129,42.1432,glot,"ܕܪܨܝܢܝ‎ , ܨܝܢܕܪܓ‎ <br>dārṣīnī, ṣīndreḡ<br>Language: Classical Syriac<br>Family: Afro-Asiatic"
53,,Hindi,दालचीनी,dālcīnī,dālcīnī,darchin,hin,hind1269,language,Indic,Indo-European,Eurasia,IN,25.0,77.0,wals1,दालचीनी <br>dālcīnī<br>Language: Hindi<br>Family: Indo-European
122,,Swahili,dalasini,,dalasini,darchin,swh,swah1253,language,,Atlantic-Congo,Africa,BI KE MZ RW SO TZ UG,-8.25605,37.624,glot,dalasini<br>Language: Swahili<br>Family: Atlantic-Congo
125,,Tajik,дорчин,dorčin,dorčin,darchin,tgk,taji1245,language,Iranian,Indo-European,Eurasia,TJ,38.6666666667,70.0,wals1,дорчин <br>dorčin<br>Language: Tajik<br>Family: Indo-European
127,,Tatar,дарчин,darçin,darçin,darchin,tat,tata1255,language,Turkic,Altaic,Eurasia,RU,56.0,49.5,wals1,дарчин <br>darçin<br>Language: Tatar<br>Family: Altaic
128,,Telugu,దాల్చిన చెక్క,dālchina chekka,dālchina chekka,darchin,tel,telu1262,language,South-Central Dravidian,Dravidian,Eurasia,IN,16.0,79.0,wals1,దాల్చిన చెక్క<br>dālchina chekka<br>Language: Telugu<br>Family: Dravidian
133,,Turkish,tarçın,,tarçın,darchin,tur,nucl1301,language,Turkic,Altaic,Eurasia,TR,39.0,35.0,wals1,tarçın<br>Language: Turkish<br>Family: Altaic
134,,Turkmen,darçyn,,darçyn,darchin,tuk,turk1304,language,Turkic,Altaic,Eurasia,TM,40.0,58.0,wals1,darçyn<br>Language: Turkmen<br>Family: Altaic
137,,Urdu,دار چینی,dārcīnī,dārcīnī,darchin,urd,urdu1245,language,Indic,Indo-European,Eurasia,PK,25.0,67.0,wals1,دار چینی<br>dārcīnī<br>Language: Urdu<br>Family: Indo-European
138,,Uyghur,دارچىن,"dalçin, darçin","dalçin, darçin",darchin,uig,uigh1240,language,Turkic,Altaic,Eurasia,CN,40.0,80.0,wals1,"دارچىن<br>dalçin, darçin<br>Language: Uyghur<br>Family: Altaic"
139,,Uzbek,dolchin,dolchin,dolchin,darchin,uzs,uzbe1247,language,Turkic,Altaic,Eurasia,AF UZ,39.0,66.0,wals1,dolchin<br>dolchin<br>Language: Uzbek<br>Family: Altaic
142,,Western Armenian,դարչին,tarchʿin,tarchʿin,darchin,hyw,homs1234,language,,Indo-European,Eurasia,AM,40.1897,44.4839,glot,դարչին<br>tarchʿin<br>Language: Western Armenian<br>Family: Indo-European
31,,Eastern Armenian,դարչին,darčʿin,darčʿin,darchin,hye,nucl1235,language,,Indo-European,Eurasia,AM AZ GE IR SY TR,40.0,45.0,glot,դարչին<br>darčʿin<br>Language: Eastern Armenian<br>Family: Indo-European
25,,Crimean Tatar,tarçın,,tarçın,darchin,crh,crim1257,language,Turkic,Altaic,Eurasia,UZ,45.0,34.0833333333,wals1,tarçın<br>Language: Crimean Tatar<br>Family: Altaic
100,,Oriya,"ଦାଲଚିନି, ଡାଲଚିନି","dālcini, ḍālcini",dalachini,darchin,ori,nucl1284,language,Indic,Indo-European,Eurasia,IN,21.0,85.0,wals1,"ଦାଲଚିନି, ଡାଲଚିନି<br>dālcini, ḍālcini<br>Language: Oriya<br>Family: Indo-European"
6,,Azerbaijani,darçın,,darçın,darchin,azb,nort2697,language,Turkic,Altaic,Eurasia,AZ IR,40.5,48.5,wals1,darçın<br>Language: Azerbaijani<br>Family: Altaic
101,,Panjabi,ਦਾਲਚੀਨੀ,dālcīnī,dālcīnī,darchin,pan,panj1256,language,Indic,Indo-European,Eurasia,IN PK,31.0,74.0,wals1,ਦਾਲਚੀਨੀ<br>dālcīnī<br>Language: Panjabi<br>Family: Indo-European
87,,Marathi,दालचीनी,dālcīnī,dālcīnī,darchin,mar,mara1378,language,Indic,Indo-European,Eurasia,IN,19.0,76.0,wals1,दालचीनी <br>dālcīnī<br>Language: Marathi<br>Family: Indo-European
43,,Georgian,დარიჩინი,daričini,daričini,darchin,kat,nucl1302,language,Kartvelian,Kartvelian,Eurasia,GE,42.0,44.0,wals1,დარიჩინი <br>daričini<br>Language: Georgian<br>Family: Kartvelian
17,,Central Kurdish,دارچین,darçîn,darçîn,darchin,ckb,cent1972,language,,Indo-European,Eurasia,IQ IR,35.6539,45.8077,glot,دارچین‎ <br>darçîn<br>Language: Central Kurdish<br>Family: Indo-European
47,,Gulf Arabic,دارسين,dārsīn,dārsīn,darchin,afb,gulf1241,language,,Afro-Asiatic,Eurasia,AE BH IQ IR KW OM QA SA YE,30.17,47.5,glot,دارسين‎ <br>dārsīn<br>Language: Gulf Arabic<br>Family: Afro-Asiatic
79,,Maithili,दालचिनी,dalchini,dalchini,darchin,mai,mait1250,language,Indic,Indo-European,Eurasia,NP IN,26.0,86.0,wals1,दालचिनी<br>dalchini<br>Language: Maithili<br>Family: Indo-European
66,,Kazakh,даршын,darşın,darşın,darchin,kaz,kaza1248,language,Turkic,Altaic,Eurasia,KZ,50.0,70.0,wals1,даршын <br>darşın<br>Language: Kazakh<br>Family: Altaic
65,,Kashmiri,دالچین,dālchīn,dālchīn,darchin,kas,kash1277,language,Indic,Indo-European,Eurasia,PK IN,34.0,76.0,wals1,دالچین<br>dālchīn<br>Language: Kashmiri<br>Family: Indo-European
