,name,other,comma,dot
178,Mechoacan, root of Ipomoea jalapa,Central America,
179,Melegueta pepper, see Grains of Paradise,,
180,Mioga ginger, shoots of Zingiber mioga,China,
181,Musk, secretion of Moschus moschiferus,"and other species, Asia",
182,musk mallow, see Ambrette,,
183,Mustard, seed of Brassica hirta,B,"juncea and B. nigra, Eurasia"
184,Myrrh, resin of Commiphora myrrha and other species,Arabia and north-east Africa,See also Opopanax
185,Myrtle, fruit of Myrtus communis,southern Europe,
186,nard, see spikenard; Celtic nard; Syrian nard,,
187,nard grass, see Citronella oil,,
188,"Nepaul cardamom, greater cardamom", fruit of Amomum subulatum,Himalayas,
189,"Nicaragua chocolate, pataxte, Peru cacao", seed of Theobroma bicolor,Central America,
190,"Nigella, gith, *black cumin, *onion seed", seed of Nigella sativa,Near East,
191,nikkel oil, see Saigon cinnamon,,
192,"Nutmeg, mace", fruit of Myristica fragrans,Banda islands,
